year,geo,gender,age_group,education,employment_rate,unemployment_rate,participation_rate,education_ord
2016,Manitoba,Men,15 years and over,High School,78.5,4.4,82.2,3
2016,Manitoba,Women,15 years and over,High School,68.8,3.9,71.6,3
2016,New Brunswick,Men,15 years and over,High School,71.0,10.5,79.3,3
2016,New Brunswick,Women,15 years and over,High School,64.8,5.7,68.6,3
2016,Newfoundland and Labrador,Men,15 years and over,High School,66.8,14.4,78.0,3
2016,Newfoundland and Labrador,Women,15 years and over,High School,62.6,9.6,69.3,3
2016,Nova Scotia,Men,15 years and over,High School,68.6,10.3,76.5,3
2016,Nova Scotia,Women,15 years and over,High School,63.0,5.4,66.6,3
2016,Ontario,Men,15 years and over,High School,75.5,5.1,79.5,3
2016,Ontario,Women,15 years and over,High School,67.5,5.2,71.2,3
2016,Prince Edward Island,Men,15 years and over,High School,75.2,9.7,83.2,3
2016,Prince Edward Island,Women,15 years and over,High School,62.9,7.1,68.3,3
2016,Quebec,Men,15 years and over,High School,73.2,6.9,78.6,3
2016,Quebec,Women,15 years and over,High School,69.5,4.8,73.1,3
2016,Saskatchewan,Men,15 years and over,High School,81.1,5.4,85.8,3
2016,Saskatchewan,Women,15 years and over,High School,67.6,4.6,70.8,3
2016,Alberta,Men,15 years and over,No High School,56.4,12.7,64.7,2
2016,Alberta,Women,15 years and over,No High School,41.6,10.4,46.5,2
2016,British Columbia,Men,15 years and over,No High School,48.3,11.2,54.5,2
2016,Manitoba,Men,15 years and over,No High School,51.6,6.0,54.9,2
2016,New Brunswick,Men,15 years and over,No High School,34.0,21.3,43.3,2
2016,Newfoundland and Labrador,Men,15 years and over,No High School,39.5,29.9,56.3,2
2016,Nova Scotia,Men,15 years and over,No High School,43.5,14.8,51.5,2
2016,Ontario,Men,15 years and over,No High School,44.1,6.7,47.4,2
2016,Ontario,Women,15 years and over,No High School,36.7,9.7,40.7,2
2016,Prince Edward Island,Men,15 years and over,No High School,45.0,18.2,55.0,2
2016,Quebec,Men,15 years and over,No High School,54.7,10.8,61.3,2
2016,Quebec,Women,15 years and over,No High School,47.9,10.2,53.5,2
2016,Saskatchewan,Men,15 years and over,No High School,55.6,7.8,60.2,2
2017,Alberta,Men,15 years and over,Postgraduate,80.5,4.2,84.0,7
2017,Alberta,Women,15 years and over,Postgraduate,74.0,5.9,78.7,7
2017,British Columbia,Men,15 years and over,Postgraduate,69.7,3.1,72.0,7
2017,British Columbia,Women,15 years and over,Postgraduate,72.1,4.1,75.2,7
2017,Manitoba,Men,15 years and over,Postgraduate,77.5,3.5,80.0,7
2017,Manitoba,Women,15 years and over,Postgraduate,76.4,3.9,79.5,7
2017,Newfoundland and Labrador,Men,15 years and over,Postgraduate,66.0,7.9,71.7,7
2017,Nova Scotia,Men,15 years and over,Postgraduate,68.0,5.1,71.6,7
2017,Nova Scotia,Women,15 years and over,Postgraduate,68.1,3.2,70.3,7
2017,Ontario,Men,15 years and over,Postgraduate,75.8,3.6,78.7,7
2017,Ontario,Women,15 years and over,Postgraduate,75.1,5.0,79.0,7
2017,Prince Edward Island,Women,15 years and over,Postgraduate,76.7,5.7,81.4,7
2017,Quebec,Men,15 years and over,Postgraduate,73.5,5.6,77.9,7
2017,Quebec,Women,15 years and over,Postgraduate,76.1,3.6,79.0,7
2017,Saskatchewan,Men,15 years and over,Postgraduate,82.3,3.5,85.2,7
2017,Saskatchewan,Women,15 years and over,Postgraduate,73.0,5.1,76.5,7
2017,Alberta,Men,15 years and over,Post-Secondary,67.7,9.4,74.8,4
2017,Alberta,Women,15 years and over,Post-Secondary,61.6,8.1,67.0,4
2017,British Columbia,Men,15 years and over,Post-Secondary,66.7,6.4,71.3,4
2017,British Columbia,Women,15 years and over,Post-Secondary,62.8,5.9,66.7,4
2017,Manitoba,Men,15 years and over,Post-Secondary,71.7,5.4,76.1,4
2017,Manitoba,Women,15 years and over,Post-Secondary,69.5,5.1,73.2,4
2017,New Brunswick,Men,15 years and over,Post-Secondary,56.3,11.8,63.8,4
2017,New Brunswick,Women,15 years and over,Post-Secondary,54.8,9.5,60.5,4
2017,Newfoundland and Labrador,Men,15 years and over,Post-Secondary,54.1,21.3,68.8,4
2017,Newfoundland and Labrador,Women,15 years and over,Post-Secondary,57.1,12.5,64.3,4
2017,Nova Scotia,Men,15 years and over,Post-Secondary,60.2,11.9,68.3,4
2017,Nova Scotia,Women,15 years and over,Post-Secondary,60.5,9.5,66.4,4
2017,Ontario,Men,15 years and over,Post-Secondary,62.1,8.6,67.9,4
2017,Ontario,Women,15 years and over,Post-Secondary,55.8,7.7,60.4,4
2017,Prince Edward Island,Men,15 years and over,Post-Secondary,64.3,10.5,67.9,4
2017,Prince Edward Island,Women,15 years and over,Post-Secondary,61.3,9.5,67.7,4
2017,Quebec,Men,15 years and over,Post-Secondary,66.0,8.6,72.3,4
2017,Quebec,Women,15 years and over,Post-Secondary,61.5,5.9,65.3,4
2017,Saskatchewan,Men,15 years and over,Post-Secondary,65.8,8.5,71.9,4
2017,Saskatchewan,Women,15 years and over,Post-Secondary,64.9,6.7,69.5,4
2017,Alberta,Men,15 years and over,No Credential,49.5,14.3,57.8,1
2017,Alberta,Women,15 years and over,No Credential,30.8,14.0,35.8,1
2017,British Columbia,Men,15 years and over,No Credential,42.5,10.7,47.6,1
2017,British Columbia,Women,15 years and over,No Credential,30.0,10.1,33.4,1
2017,Manitoba,Men,15 years and over,No Credential,45.7,11.2,51.4,1
2017,Manitoba,Women,15 years and over,No Credential,26.7,13.6,30.8,1
2017,New Brunswick,Men,15 years and over,No Credential,33.0,21.2,41.8,1
2017,New Brunswick,Women,15 years and over,No Credential,25.8,14.9,30.4,1
2017,Newfoundland and Labrador,Men,15 years and over,No Credential,24.3,32.6,36.0,1
2017,Newfoundland and Labrador,Women,15 years and over,No Credential,19.7,25.5,26.4,1
2017,Nova Scotia,Men,15 years and over,No Credential,34.1,19.0,42.1,1
2017,Nova Scotia,Women,15 years and over,No Credential,23.5,16.4,28.1,1
2017,Ontario,Men,15 years and over,No Credential,37.8,11.9,42.9,1
2017,Ontario,Women,15 years and over,No Credential,25.3,11.9,28.7,1
2017,Prince Edward Island,Men,15 years and over,No Credential,37.5,22.7,48.5,1
2017,Prince Edward Island,Women,15 years and over,No Credential,28.8,17.9,35.1,1
2017,Quebec,Men,15 years and over,No Credential,41.3,11.3,46.6,1
2017,Quebec,Women,15 years and over,No Credential,25.0,11.8,28.3,1
2017,Saskatchewan,Men,15 years and over,No Credential,45.3,12.6,52.0,1
2017,Saskatchewan,Women,15 years and over,No Credential,28.2,14.5,33.0,1
2017,Alberta,Men,15 years and over,Certificate/Diploma,76.9,7.6,83.3,5
2017,Alberta,Women,15 years and over,Certificate/Diploma,67.1,6.2,71.6,5
2017,British Columbia,Men,15 years and over,Certificate/Diploma,71.1,5.5,75.2,5
2017,British Columbia,Women,15 years and over,Certificate/Diploma,65.1,4.7,68.4,5
2017,Manitoba,Men,15 years and over,Certificate/Diploma,74.8,4.1,78.0,5
2017,Manitoba,Women,15 years and over,Certificate/Diploma,65.5,3.4,67.9,5
2017,New Brunswick,Men,15 years and over,Certificate/Diploma,65.7,8.9,72.2,5
2017,New Brunswick,Women,15 years and over,Certificate/Diploma,61.6,5.2,64.8,5
2017,Newfoundland and Labrador,Men,15 years and over,Certificate/Diploma,57.9,18.5,71.0,5
2017,Newfoundland and Labrador,Women,15 years and over,Certificate/Diploma,59.7,9.3,65.9,5
2017,Nova Scotia,Men,15 years and over,Certificate/Diploma,63.0,10.4,70.3,5
2017,Nova Scotia,Women,15 years and over,Certificate/Diploma,59.3,5.3,62.7,5
2017,Ontario,Men,15 years and over,Certificate/Diploma,72.7,5.1,76.6,5
2017,Ontario,Women,15 years and over,Certificate/Diploma,64.7,5.0,68.1,5
2017,Prince Edward Island,Men,15 years and over,Certificate/Diploma,71.4,10.3,79.1,5
2017,Prince Edward Island,Women,15 years and over,Certificate/Diploma,59.7,6.8,64.1,5
2017,Quebec,Men,15 years and over,Certificate/Diploma,72.1,5.6,76.4,5
2017,Quebec,Women,15 years and over,Certificate/Diploma,67.1,5.2,70.8,5
2017,Saskatchewan,Men,15 years and over,Certificate/Diploma,76.3,5.6,80.9,5
2017,Saskatchewan,Women,15 years and over,Certificate/Diploma,66.5,4.0,69.2,5
2017,Alberta,Men,15 years and over,University Degree,79.9,5.8,84.8,6
2017,Alberta,Women,15 years and over,University Degree,73.3,6.4,78.3,6
2017,British Columbia,Men,15 years and over,University Degree,73.5,3.6,76.3,6
2017,British Columbia,Women,15 years and over,University Degree,71.9,3.6,74.6,6
2017,Manitoba,Men,15 years and over,University Degree,77.9,3.8,81.1,6
2017,Manitoba,Women,15 years and over,University Degree,75.6,3.3,78.2,6
2017,New Brunswick,Men,15 years and over,University Degree,75.0,3.6,77.6,6
2017,New Brunswick,Women,15 years and over,University Degree,73.5,2.9,75.7,6
2017,Newfoundland and Labrador,Men,15 years and over,University Degree,71.1,5.7,75.7,6
2017,Newfoundland and Labrador,Women,15 years and over,University Degree,75.4,3.3,78.0,6
2017,Nova Scotia,Men,15 years and over,University Degree,69.3,5.4,73.3,6
2017,Nova Scotia,Women,15 years and over,University Degree,71.6,3.6,74.3,6
2017,Ontario,Men,15 years and over,University Degree,77.0,4.2,80.4,6
2017,Ontario,Women,15 years and over,University Degree,72.7,4.9,76.4,6
2017,Prince Edward Island,Men,15 years and over,University Degree,75.9,4.5,79.5,6
2017,Prince Edward Island,Women,15 years and over,University Degree,75.0,4.3,77.7,6
2017,Quebec,Men,15 years and over,University Degree,73.3,5.2,77.2,6
2017,Quebec,Women,15 years and over,University Degree,73.6,4.1,76.8,6
2017,Saskatchewan,Men,15 years and over,University Degree,80.6,3.9,84.0,6
2017,Saskatchewan,Women,15 years and over,University Degree,75.9,4.1,79.1,6
2017,Alberta,Men,15 years and over,High School,79.9,7.1,86.0,3
2017,Alberta,Women,15 years and over,High School,68.8,5.9,73.0,3
2017,British Columbia,Men,15 years and over,High School,73.2,5.2,77.2,3
2017,British Columbia,Women,15 years and over,High School,66.4,4.7,69.6,3
2017,Manitoba,Men,15 years and over,High School,77.5,4.1,80.8,3
2017,Manitoba,Women,15 years and over,High School,67.7,3.5,70.1,3
2017,New Brunswick,Men,15 years and over,High School,70.6,8.7,77.3,3
2017,New Brunswick,Women,15 years and over,High School,64.3,5.1,67.8,3
2017,Newfoundland and Labrador,Men,15 years and over,High School,61.2,17.4,74.3,3
2017,Newfoundland and Labrador,Women,15 years and over,High School,60.8,8.9,66.8,3
2017,Nova Scotia,Men,15 years and over,High School,67.4,10.2,75.0,3
2017,Nova Scotia,Women,15 years and over,High School,62.4,5.4,65.9,3
2017,Ontario,Men,15 years and over,High School,75.1,5.0,79.1,3
2017,Ontario,Women,15 years and over,High School,66.3,5.0,69.8,3
2017,Prince Edward Island,Men,15 years and over,High School,75.1,9.2,83.4,3
2017,Prince Edward Island,Women,15 years and over,High School,63.3,7.0,68.1,3
2017,Quebec,Men,15 years and over,High School,74.7,5.1,78.8,3
2017,Quebec,Women,15 years and over,High School,68.2,5.1,71.9,3
2017,Saskatchewan,Men,15 years and over,High School,79.2,5.5,83.9,3
2017,Saskatchewan,Women,15 years and over,High School,69.2,3.8,72.0,3
2017,Alberta,Men,15 years and over,No High School,54.3,13.4,62.6,2
2017,Alberta,Women,15 years and over,No High School,47.0,12.6,53.8,2
2017,British Columbia,Men,15 years and over,No High School,52.6,8.4,57.5,2
2017,Manitoba,Men,15 years and over,No High School,55.2,5.2,58.2,2
2017,New Brunswick,Men,15 years and over,No High School,37.2,11.1,42.6,2
2017,Newfoundland and Labrador,Men,15 years and over,No High School,31.4,31.9,46.1,2
2017,Nova Scotia,Men,15 years and over,No High School,39.8,11.8,45.1,2
2017,Ontario,Men,15 years and over,No High School,43.8,6.2,46.8,2
2017,Ontario,Women,15 years and over,No High School,34.2,7.0,36.8,2
2017,Prince Edward Island,Men,15 years and over,No High School,44.4,14.3,51.9,2
2017,Quebec,Men,15 years and over,No High School,53.9,10.0,59.9,2
2017,Quebec,Women,15 years and over,No High School,51.7,8.3,56.2,2
2017,Saskatchewan,Men,15 years and over,No High School,56.6,7.5,61.3,2
2018,Alberta,Men,15 years and over,Postgraduate,78.2,4.2,81.7,7
2018,Alberta,Women,15 years and over,Postgraduate,73.8,6.0,78.5,7
2018,British Columbia,Men,15 years and over,Postgraduate,73.9,4.2,77.1,7
2018,British Columbia,Women,15 years and over,Postgraduate,70.8,4.2,74.0,7
2018,Manitoba,Men,15 years and over,Postgraduate,74.2,4.9,77.7,7
2018,Manitoba,Women,15 years and over,Postgraduate,73.7,4.7,77.3,7
2018,New Brunswick,Women,15 years and over,Postgraduate,69.0,4.7,73.0,7
2018,Nova Scotia,Men,15 years and over,Postgraduate,69.3,4.8,72.8,7
2018,Nova Scotia,Women,15 years and over,Postgraduate,73.0,2.4,74.8,7
2018,Ontario,Men,15 years and over,Postgraduate,75.6,3.6,78.5,7
2018,Ontario,Women,15 years and over,Postgraduate,73.7,4.8,77.3,7
2018,Quebec,Men,15 years and over,Postgraduate,73.6,3.7,76.4,7
2018,Quebec,Women,15 years and over,Postgraduate,76.9,4.1,80.1,7
2018,Saskatchewan,Men,15 years and over,Postgraduate,76.2,5.0,80.3,7
2018,Saskatchewan,Women,15 years and over,Postgraduate,74.8,5.4,78.5,7
2018,Alberta,Men,15 years and over,Post-Secondary,67.6,7.6,73.0,4
2018,Alberta,Women,15 years and over,Post-Secondary,60.3,6.5,64.5,4
2018,British Columbia,Men,15 years and over,Post-Secondary,63.5,6.2,67.7,4
2018,British Columbia,Women,15 years and over,Post-Secondary,61.7,5.3,65.2,4
2018,Manitoba,Men,15 years and over,Post-Secondary,67.5,8.7,73.7,4
2018,Manitoba,Women,15 years and over,Post-Secondary,65.0,5.8,68.9,4
2018,New Brunswick,Men,15 years and over,Post-Secondary,56.6,11.3,63.8,4
2018,New Brunswick,Women,15 years and over,Post-Secondary,54.0,10.2,60.9,4
2018,Newfoundland and Labrador,Men,15 years and over,Post-Secondary,53.7,16.1,65.3,4
2018,Newfoundland and Labrador,Women,15 years and over,Post-Secondary,51.1,12.7,58.5,4
2018,Nova Scotia,Men,15 years and over,Post-Secondary,61.7,9.5,68.7,4
2018,Nova Scotia,Women,15 years and over,Post-Secondary,60.2,6.5,64.3,4
2018,Ontario,Men,15 years and over,Post-Secondary,63.6,6.5,68.0,4
2018,Ontario,Women,15 years and over,Post-Secondary,55.6,7.9,60.4,4
2018,Prince Edward Island,Men,15 years and over,Post-Secondary,63.6,12.5,72.7,4
2018,Prince Edward Island,Women,15 years and over,Post-Secondary,57.6,9.5,63.6,4
2018,Quebec,Men,15 years and over,Post-Secondary,67.2,7.7,72.9,4
2018,Quebec,Women,15 years and over,Post-Secondary,60.4,7.0,65.1,4
2018,Saskatchewan,Men,15 years and over,Post-Secondary,64.2,8.5,70.2,4
2018,Saskatchewan,Women,15 years and over,Post-Secondary,64.9,5.2,68.4,4
2018,Alberta,Men,15 years and over,No Credential,47.4,12.4,54.2,1
2018,Alberta,Women,15 years and over,No Credential,30.6,13.2,35.3,1
2018,British Columbia,Men,15 years and over,No Credential,40.7,8.8,44.6,1
2018,British Columbia,Women,15 years and over,No Credential,30.9,10.7,34.6,1
2018,Manitoba,Men,15 years and over,No Credential,46.3,10.9,52.0,1
2018,Manitoba,Women,15 years and over,No Credential,26.6,13.7,30.7,1
2018,New Brunswick,Men,15 years and over,No Credential,33.7,19.6,41.9,1
2018,New Brunswick,Women,15 years and over,No Credential,25.9,14.7,30.4,1
2018,Newfoundland and Labrador,Men,15 years and over,No Credential,26.2,27.2,36.3,1
2018,Newfoundland and Labrador,Women,15 years and over,No Credential,20.4,24.2,26.9,1
2018,Nova Scotia,Men,15 years and over,No Credential,36.6,16.4,43.8,1
2018,Nova Scotia,Women,15 years and over,No Credential,23.8,15.1,28.0,1
2018,Ontario,Men,15 years and over,No Credential,39.1,10.6,43.7,1
2018,Ontario,Women,15 years and over,No Credential,25.1,11.7,28.4,1
2018,Prince Edward Island,Men,15 years and over,No Credential,40.4,20.8,51.1,1
2018,Prince Edward Island,Women,15 years and over,No Credential,32.1,20.5,40.4,1
2018,Quebec,Men,15 years and over,No Credential,42.1,10.8,47.2,1
2018,Quebec,Women,15 years and over,No Credential,25.2,10.4,28.1,1
2018,Saskatchewan,Men,15 years and over,No Credential,46.6,12.0,52.8,1
2018,Saskatchewan,Women,15 years and over,No Credential,28.6,12.6,32.7,1
2018,Alberta,Men,15 years and over,Certificate/Diploma,77.2,5.9,82.0,5
2018,Alberta,Women,15 years and over,Certificate/Diploma,67.6,5.9,71.9,5
2018,British Columbia,Men,15 years and over,Certificate/Diploma,72.2,4.2,75.4,5
2018,British Columbia,Women,15 years and over,Certificate/Diploma,64.2,4.2,67.1,5
2018,Manitoba,Men,15 years and over,Certificate/Diploma,75.0,4.6,78.5,5
2018,Manitoba,Women,15 years and over,Certificate/Diploma,63.8,4.1,66.5,5
2018,New Brunswick,Men,15 years and over,Certificate/Diploma,65.9,8.1,71.7,5
2018,New Brunswick,Women,15 years and over,Certificate/Diploma,61.8,5.7,65.6,5
2018,Newfoundland and Labrador,Men,15 years and over,Certificate/Diploma,59.8,16.9,72.0,5
2018,Newfoundland and Labrador,Women,15 years and over,Certificate/Diploma,56.8,9.6,62.9,5
2018,Nova Scotia,Men,15 years and over,Certificate/Diploma,64.0,8.5,69.9,5
2018,Nova Scotia,Women,15 years and over,Certificate/Diploma,57.4,5.6,60.7,5
2018,Ontario,Men,15 years and over,Certificate/Diploma,72.6,4.3,75.9,5
2018,Ontario,Women,15 years and over,Certificate/Diploma,65.2,4.2,68.1,5
2018,Prince Edward Island,Men,15 years and over,Certificate/Diploma,74.5,7.3,80.3,5
2018,Prince Edward Island,Women,15 years and over,Certificate/Diploma,60.8,6.4,65.0,5
2018,Quebec,Men,15 years and over,Certificate/Diploma,72.6,5.1,76.5,5
2018,Quebec,Women,15 years and over,Certificate/Diploma,68.4,4.4,71.6,5
2018,Saskatchewan,Men,15 years and over,Certificate/Diploma,76.3,5.5,80.7,5
2018,Saskatchewan,Women,15 years and over,Certificate/Diploma,65.8,4.5,68.9,5
2018,Alberta,Men,15 years and over,University Degree,79.4,5.5,84.0,6
2018,Alberta,Women,15 years and over,University Degree,74.8,5.0,78.8,6
2018,British Columbia,Men,15 years and over,University Degree,75.3,3.2,77.8,6
2018,British Columbia,Women,15 years and over,University Degree,70.8,3.6,73.4,6
2018,Manitoba,Men,15 years and over,University Degree,78.5,4.7,82.5,6
2018,Manitoba,Women,15 years and over,University Degree,73.5,4.0,76.6,6
2018,New Brunswick,Men,15 years and over,University Degree,72.5,3.8,75.4,6
2018,New Brunswick,Women,15 years and over,University Degree,71.7,3.5,74.3,6
2018,Newfoundland and Labrador,Men,15 years and over,University Degree,72.3,5.2,76.3,6
2018,Newfoundland and Labrador,Women,15 years and over,University Degree,74.7,4.0,77.8,6
2018,Nova Scotia,Men,15 years and over,University Degree,71.4,5.5,75.4,6
2018,Nova Scotia,Women,15 years and over,University Degree,71.0,3.7,73.6,6
2018,Ontario,Men,15 years and over,University Degree,76.4,4.3,79.8,6
2018,Ontario,Women,15 years and over,University Degree,71.8,5.1,75.6,6
2018,Prince Edward Island,Men,15 years and over,University Degree,73.3,4.5,76.7,6
2018,Prince Edward Island,Women,15 years and over,University Degree,73.5,4.4,76.9,6
2018,Quebec,Men,15 years and over,University Degree,73.8,3.9,76.9,6
2018,Quebec,Women,15 years and over,University Degree,73.9,3.6,76.6,6
2018,Saskatchewan,Men,15 years and over,University Degree,78.1,4.1,81.5,6
2018,Saskatchewan,Women,15 years and over,University Degree,76.4,3.4,79.2,6
2018,Alberta,Men,15 years and over,High School,79.2,5.8,84.0,3
2018,Alberta,Women,15 years and over,High School,69.2,5.7,73.4,3
2018,British Columbia,Men,15 years and over,High School,74.4,4.0,77.5,3
2018,British Columbia,Women,15 years and over,High School,65.3,4.2,68.1,3
2018,Manitoba,Men,15 years and over,High School,77.6,4.4,81.1,3
2018,Manitoba,Women,15 years and over,High School,66.3,4.0,69.1,3
2018,New Brunswick,Men,15 years and over,High School,70.4,7.5,76.1,3
2018,New Brunswick,Women,15 years and over,High School,64.5,5.5,68.3,3
2018,Newfoundland and Labrador,Men,15 years and over,High School,62.9,15.9,74.9,3
2018,Newfoundland and Labrador,Women,15 years and over,High School,58.3,9.2,64.2,3
2018,Nova Scotia,Men,15 years and over,High School,68.6,8.1,74.6,3
2018,Nova Scotia,Women,15 years and over,High School,60.5,5.2,63.9,3
2018,Ontario,Men,15 years and over,High School,74.7,4.2,77.9,3
2018,Ontario,Women,15 years and over,High School,66.9,4.1,69.7,3
2018,Prince Edward Island,Men,15 years and over,High School,77.4,7.3,83.5,3
2018,Prince Edward Island,Women,15 years and over,High School,63.5,6.6,68.0,3
2018,Quebec,Men,15 years and over,High School,75.2,4.7,78.9,3
2018,Quebec,Women,15 years and over,High School,69.5,4.3,72.6,3
2018,Saskatchewan,Men,15 years and over,High School,79.8,5.3,84.2,3
2018,Saskatchewan,Women,15 years and over,High School,68.4,4.3,71.6,3
2018,Alberta,Men,15 years and over,No High School,61.5,6.9,66.0,2
2018,Alberta,Women,15 years and over,No High School,50.1,8.3,54.9,2
2018,British Columbia,Men,15 years and over,No High School,49.9,7.4,54.1,2
2018,Manitoba,Men,15 years and over,No High School,52.9,6.9,56.9,2
2018,New Brunswick,Men,15 years and over,No High School,34.8,16.1,41.5,2
2018,Newfoundland and Labrador,Men,15 years and over,No High School,37.1,26.7,51.7,2
2018,Nova Scotia,Men,15 years and over,No High School,39.6,11.5,45.3,2
2018,Nova Scotia,Women,15 years and over,No High School,28.5,11.4,32.1,2
2018,Ontario,Men,15 years and over,No High School,46.1,6.6,49.4,2
2018,Ontario,Women,15 years and over,No High School,29.9,9.0,32.9,2
2018,Prince Edward Island,Men,15 years and over,No High School,50.0,14.3,58.3,2
2018,Quebec,Men,15 years and over,No High School,54.3,8.3,59.2,2
2018,Quebec,Women,15 years and over,No High School,52.6,6.0,55.9,2
2018,Saskatchewan,Men,15 years and over,No High School,52.1,8.4,56.2,2
2019,Alberta,Men,15 years and over,Postgraduate,77.1,5.2,81.3,7
2019,Alberta,Women,15 years and over,Postgraduate,77.1,4.3,80.6,7
2019,British Columbia,Men,15 years and over,Postgraduate,74.9,3.7,77.8,7
2019,British Columbia,Women,15 years and over,Postgraduate,72.0,4.4,75.3,7
2019,Manitoba,Men,15 years and over,Postgraduate,75.7,2.7,77.8,7
2019,Manitoba,Women,15 years and over,Postgraduate,74.2,3.2,76.6,7
2019,New Brunswick,Women,15 years and over,Postgraduate,74.7,3.5,76.9,7
2019,Nova Scotia,Men,15 years and over,Postgraduate,67.4,4.1,70.3,7
2019,Nova Scotia,Women,15 years and over,Postgraduate,74.3,3.4,77.1,7
2019,Ontario,Men,15 years and over,Postgraduate,73.7,4.0,76.8,7
2019,Ontario,Women,15 years and over,Postgraduate,72.8,4.4,76.1,7
2019,Quebec,Men,15 years and over,Postgraduate,71.3,4.4,74.6,7
2019,Quebec,Women,15 years and over,Postgraduate,76.6,2.6,78.6,7
2019,Saskatchewan,Men,15 years and over,Postgraduate,77.3,3.6,80.2,7
2019,Saskatchewan,Women,15 years and over,Postgraduate,76.9,3.4,79.6,7
2019,Alberta,Men,15 years and over,Post-Secondary,68.7,10.6,76.8,4
2019,Alberta,Women,15 years and over,Post-Secondary,62.5,6.9,67.1,4
2019,British Columbia,Men,15 years and over,Post-Secondary,65.4,5.7,69.4,4
2019,British Columbia,Women,15 years and over,Post-Secondary,61.9,5.0,65.2,4
2019,Manitoba,Men,15 years and over,Post-Secondary,69.3,6.7,74.3,4
2019,Manitoba,Women,15 years and over,Post-Secondary,65.2,5.2,68.7,4
2019,New Brunswick,Men,15 years and over,Post-Secondary,61.2,8.5,67.6,4
2019,New Brunswick,Women,15 years and over,Post-Secondary,54.7,12.1,61.5,4
2019,Newfoundland and Labrador,Men,15 years and over,Post-Secondary,60.8,11.1,68.4,4
2019,Nova Scotia,Men,15 years and over,Post-Secondary,64.2,7.5,69.3,4
2019,Nova Scotia,Women,15 years and over,Post-Secondary,62.2,10.1,69.1,4
2019,Ontario,Men,15 years and over,Post-Secondary,62.2,7.7,67.5,4
2019,Ontario,Women,15 years and over,Post-Secondary,54.7,8.2,59.5,4
2019,Prince Edward Island,Men,15 years and over,Post-Secondary,62.5,11.8,70.8,4
2019,Prince Edward Island,Women,15 years and over,Post-Secondary,54.8,11.1,58.1,4
2019,Quebec,Men,15 years and over,Post-Secondary,65.1,6.0,69.3,4
2019,Quebec,Women,15 years and over,Post-Secondary,63.2,6.0,67.2,4
2019,Saskatchewan,Men,15 years and over,Post-Secondary,66.4,6.5,71.4,4
2019,Saskatchewan,Women,15 years and over,Post-Secondary,66.4,6.1,70.8,4
2019,Alberta,Men,15 years and over,No Credential,46.9,13.8,54.4,1
2019,Alberta,Women,15 years and over,No Credential,29.5,14.4,34.5,1
2019,British Columbia,Men,15 years and over,No Credential,41.9,8.9,46.0,1
2019,British Columbia,Women,15 years and over,No Credential,31.1,11.0,35.0,1
2019,Manitoba,Men,15 years and over,No Credential,45.2,11.7,51.2,1
2019,Manitoba,Women,15 years and over,No Credential,26.2,9.8,29.1,1
2019,New Brunswick,Men,15 years and over,No Credential,33.9,19.3,41.8,1
2019,New Brunswick,Women,15 years and over,No Credential,23.6,15.5,27.9,1
2019,Newfoundland and Labrador,Men,15 years and over,No Credential,25.8,24.4,34.1,1
2019,Newfoundland and Labrador,Women,15 years and over,No Credential,18.0,21.5,22.6,1
2019,Nova Scotia,Men,15 years and over,No Credential,37.1,14.8,43.5,1
2019,Nova Scotia,Women,15 years and over,No Credential,26.0,15.9,31.0,1
2019,Ontario,Men,15 years and over,No Credential,37.4,11.0,42.0,1
2019,Ontario,Women,15 years and over,No Credential,25.6,11.6,29.0,1
2019,Prince Edward Island,Men,15 years and over,No Credential,41.0,20.5,50.7,1
2019,Prince Edward Island,Women,15 years and over,No Credential,31.4,12.8,37.1,1
2019,Quebec,Men,15 years and over,No Credential,43.3,9.3,47.7,1
2019,Quebec,Women,15 years and over,No Credential,26.7,8.9,29.3,1
2019,Saskatchewan,Men,15 years and over,No Credential,47.0,9.6,52.0,1
2019,Saskatchewan,Women,15 years and over,No Credential,26.0,14.2,30.3,1
2019,Alberta,Men,15 years and over,Certificate/Diploma,76.7,6.6,82.1,5
2019,Alberta,Women,15 years and over,Certificate/Diploma,67.9,5.1,71.5,5
2019,British Columbia,Men,15 years and over,Certificate/Diploma,72.2,3.6,74.8,5
2019,British Columbia,Women,15 years and over,Certificate/Diploma,63.8,4.3,66.6,5
2019,Manitoba,Men,15 years and over,Certificate/Diploma,74.6,4.5,78.1,5
2019,Manitoba,Women,15 years and over,Certificate/Diploma,63.1,3.8,65.6,5
2019,New Brunswick,Men,15 years and over,Certificate/Diploma,66.2,8.1,72.0,5
2019,New Brunswick,Women,15 years and over,Certificate/Diploma,62.3,5.5,65.8,5
2019,Newfoundland and Labrador,Men,15 years and over,Certificate/Diploma,61.5,14.6,72.0,5
2019,Newfoundland and Labrador,Women,15 years and over,Certificate/Diploma,57.9,9.4,64.0,5
2019,Nova Scotia,Men,15 years and over,Certificate/Diploma,63.3,8.3,69.1,5
2019,Nova Scotia,Women,15 years and over,Certificate/Diploma,57.8,5.7,61.3,5
2019,Ontario,Men,15 years and over,Certificate/Diploma,73.9,4.1,77.1,5
2019,Ontario,Women,15 years and over,Certificate/Diploma,65.4,4.4,68.4,5
2019,Prince Edward Island,Men,15 years and over,Certificate/Diploma,72.9,8.2,79.9,5
2019,Prince Edward Island,Women,15 years and over,Certificate/Diploma,63.6,5.7,67.4,5
